TITLE	SCORE
linear algebra	1
math	1
japan	1
Congress of Deputies	0
madrid	1
Manzanares (river)	0
Association football	0
Gauge theory	1
Spacetime	1
Max Planck	1
Group theory	1
Vector field	1
Pneumonia	0
Galaxy	1
Big Bang	1
Julian Jacobs	0
Section 92(10) of the Constitution Act, 1867	0
Tuszkowy	0
Fort Vieux Logis	0
Trimdon Limestone Quarry	0
Quarry	0
DBC News	0
Anti-Football League	1
Olivier Schatzky	0
You (Galantis song)	0
Association of Licensed Automobile Manufacturers	0
Choosing a Husband	0
Chess photography	1
Chess	1
Go (game)	1
Shogi	1
Artificial intelligence	1
AlphaZero	1
Google DeepMind	1
Google	1
Olivia Potts	0
Mancala	1
Monte Carlo tree search	1
Runge–Kutta methods	1
Lie algebra	1
Metropolis of Chios, Psara and Oinousses	0
Santorini	1
Commando Companies (Germany)	0
NOÉ21	0
Climate change	1
Nuclear fusion	1
Beryllium-8	1
Henry Riecken	0
Graat v R	0
Baykar Cezeri	0
Unmanned combat aerial vehicle	1
Srinivasa Ramanujan	1
Light	1
Convolution	1
Fourier series	1
Domingo Itchon	0
Basketball	0
Antonín Rýgr	0
Peggy Sue	0
Nuclear weapon	1
Neutrino detector	1
Laboratori Nazionali del Gran Sasso	1
Super-Kamiokande	1
James Webb Space Telescope	1
Kua Bak Lim	0
Blood vessel	0
Variational principle	1
Quantum mechanics	1
Statistical mechanics	1
Quantum entanglement	1
Quantum superposition	1
Bose–Einstein condensate	1
Yu-Gi-Oh!	1
Dragon Ball	1
Akira Toriyama	1
Nagoya	1
Sushi	1
Blockchain	1
James Bacalles	0
Creative Writer 2	0
ENIAC	1
Ian Allen (cricketer)	0
Narcos (Anuel AA song)	0
Lithuanian nobility	0
Ali Shafi	0
Rowland Brown	0
CLG Naomh Ultan	0
Neva Edwards	0
Toki Pona	1
Haiku	1
Battle of the Pyramids	1
Wielki Garc	0
Karl-Johannes Soonpää	0
El Heraldo (Colombia)	0
Nhanulepisosteus	0
Gustavo Cuesta	0
United Sport FC	0
Charles Montgomery Rivaz	0
Patrice Halgand	0
Tanner Houck	0
perceptron	1
Eino Pentti	0
Poliforum Zamna	0
ESO 576-69	0
1995 Micronesian imports referendum	0
homomorphism	1
endomorphism	1
The Final Count	0
Metallole	0
Polymerization	1
Gandhinagar Capital–Bhavnagar Terminus Intercity Express	0
James de Beaujeu Domville	0
Sophie Lebrun	0
Guillermo Salinas	0
American Fork Hospital	0
Zhitkov	0
your name	1
No Game No Life	1
Toradora!	1
Faraaz (film)	0
Isbukta	0
Mount Fuji	1
Cherry blossom	1
Eric Pohlmann	0
Borisovo, Novo Selo	0
Dick Duff	0
Temple Guiting Preceptory	0
Sweetness and Lightning	1
List of members of the 6th Lok Sabha	0
SS Keewatin	0
Atiul islam	0
1980 eruption of Mount St. Helens	1
Serveta	0
Erik Andéhn	0
Burj Khalifa	1
Goniotorna praerupta	0
2019 Uruguay Open – Doubles	0
List of Latinised names	0
iPhone	1
Alexandrina Road	0
Infrared astronomy	1
Nieznań	0
Henryk Milcarz	0
1981–82 Cleveland Cavaliers season	0
Veliki Gložac Tunnel	0
Florentius of Carracedo	0
Eric Ortner	0
Notomulciber ochraceomaculatus	0
Monster group	1
Werner Heisenberg	1
Closer to You (Carly Pearce song)	0
Joaquín Hernández Hernández	0
Louise Wischermann	0
Graphene	1
Municipalities of the canton of Solothurn	0
Favreau Pillar	0
Coral reef	1
Coral	1
Purani Basti, Raipur	1
0	1
Salomon Glacier	0
External intercostal muscles	0
Timeline of the SARS-CoV-2 Omicron variant	1
AlphaFold	1
2001 Gelsor Open Romania	0
I camionisti	0
List of most-viewed Pakistani YouTube videos	0
Wellford, Virginia	0
electron	1
positron	1
neutrino	1
Dark energy	1
Dark matter	1
Jimmy Shields (footballer)	0
Mujeres asesinas (2008 TV series)	0
Serge Ravanel	0
Cristian, Brașov	0
Tonkotsu ramen	1
Annówka, Greater Poland Voivodeship	0
Takashi Miwa	0
Mauricio Magdaleno	0
Enrico Fermi	1
Feynman diagram	1
Richard Feynman	1
Manhattan Project	1
Fat Man	1
little boy	1
Python (programming language)	1
Uno (card game)	1
Texas hold 'em	1
Richter scale	1
Spin (physics)	1
Hyperfine structure	1
Dipole	1
Maxwell's equations	1
Jurassic Park	1
El Dorado	1
gold	1
String theory	1
Loop quantum gravity	1
Stern–Gerlach experiment	1
Princess Priscilla's Fortnight	0
Turing machine	1
Alan Turing	1
Enigma machine	1
Steganography	1
Virginia City Historic District (Virginia City, Montana)	0
We Live in Time	0
Ray Agnew	0
Sally Bretton	0
Malá Veleň	0
Henry Bradford	0
Lee Harrison	0
Tavitian	0
monopoly (game)	1
Risk (game)	0
Évariste Galois	1
Poincaré conjecture	1
Bernhard Riemann	1
Riemann zeta function	1
Differential equation	1
Latent space	1
Ljubljana	1
Rome	1
Tender Hooks	0
Central District (Anbarabad County)	0
List of Belgian records in swimming	0
Jerry Pacht	0
Process mining	1
Data science	1
Ventricular tachycardia	0
John B. Arrington	0
List of Nowhere Boys episodes	0
Trisonic Wind Tunnel	1
Yellow Hell	0
Thomas Ewing	0
Gradient descent	1
Future of Go Summit	1
Hikaru Nakamura	1
Magnus Carlsen	1
Demis Hassabis	1
Mather Field/Mills station	0
Lockerby Composite School	0
SS Aghios Nectarios	0
PP-116 Faisalabad-XX	0
Bruno Batata	0
Get Damned	0
St. Marienthal Abbey	0
Cait O'Riordan	0
Graph coloring	1
Moon landing	1
r/place	1
2007–2008 financial crisis	1
Black Monday (2011)	1
S&P 500	1
Pegasus (fish)	0
Stephen A. Orthwein	0
2017–18 Tigres UANL (women) season	0
Mallory Cecil	0
2022 British Grand Prix	0
Dutch Marion	0
St. George & St. Mary Mother of God Macedonian Orthodox Church, Epping	0
Emoto	0
Tayo Ogedengbe	0
Redstone Castle	0
Minecraft	1
Procedural generation	1
Entropy (information theory)	1
Conway's Game of Life	1
Christel Frese	0
Queen City Kids	0
Lineboro Historic District	0
Galdakao	0
SQL injection	1
Generative pre-trained transformer	1
Among Us	1
Ratchet & Clank	1
Saturn V	1
Ernest Hamel	0
William Herschel	1
We Could Be Together (album)	0
Clonmoyle Mill	0
Comber railway station	0
Industrial Revolution	1
Cobalt	1
Polonium	1
Robert Burnie	0
Daniel Ahumada	0
2011 IIHF Challenge Cup of Asia	0
Dutch East India Company	1
Tulip mania	1
Tunguska event	1
Dyson sphere	1
UTF-8	1
ASCII	1
Unicode	1
Markov chain	1
Apple Inc.	1
Microsoft	1
Year 2000 problem	1
Emerald	1
Sapphire	1
Diamond	1
Cloud chamber	1
Boris Artaud	0
Duchess of Galliera	0
2012 United States House of Representatives elections in New Jersey	0
Nikolai Shilov	0
Sacramento Historic City Cemetery	0
Oszkár Abay-Nemes	0
Begonia truncicola	0
Alternating group	1
Karakaya, Çal	0
Shao Shuai (footballer, born 1997)	0
Bedeau	0
Dugand's antwren	0
Leadership opinion polling for the 2008 Spanish general election	0
1995 WAFU Club Championship	0
Takuya Matsunaga	0
Maxim Usanov	0
Richard Fish Cadle	0
Savage Cup	0
List of Bugatti prototypes	1
Niño Jesús	0
El Niño	1
ISO 639:s	0
Comparative Cytogenetics	1
Nature (journal)	1
Henry le Despenser	0
Bobby Zarem	1
J. L. Forster Secondary School	0
Webb Street School	0
Oleggio Magic Basket	0
Rocket League	1
League of Legends	0
Yu-Gi-Oh! Master Duel	1
Universe Sandbox	1
Helium	1
Helium-3	1
Pyramid	1
Amália a l'Olympia	0
Leśniczówka, Kraśnik County	0
James Brown (sportscaster)	0
Vanessa Frazier	0
Mauro Nunes	0
List of earthquakes in 1991	1
Labeobarbus gananensis	0
III (Stanton Moore album)	0
Gadelbayevo	0
2023 ADAC GT Masters	0
linear algebra	0
math	0
japan	0
Congress of Deputies	0
madrid	0
Manzanares (river)	0
Association football	0
Gauge theory	0
Spacetime	0
Max Planck	0
Group theory	0
linear algebra	0
math	0
japan	0
Congress of Deputies	0
madrid	0
Manzanares (river)	0
Association football	0
Gauge theory	0
Spacetime	0
Max Planck	0
Group theory	0
linear algebra	0
math	0
japan	0
Congress of Deputies	0
madrid	0
Manzanares (river)	0
Association football	0
Gauge theory	0
Spacetime	0
Max Planck	0
Group theory	0
Dark_matter	1
